id,td,session,dir,code,sigCode,atr,pnl_pts,reason,entry,exit
1780413027407,2026-06-02,night,short,3,3,57,-30,replaced,46704,46734
1780414947597,2026-06-02,night,short,3,3,40,-21,replaced,46744,46765
1780428274127,2026-06-02,night,long,8,8,26,47.0,trail,46696,46743.0
1780430494127,2026-06-02,night,long,8,8,31,15.0,trail,46719,46734.0
1780449334223,2026-06-03,day,short,4,4,87,-215.0,loss,46685,46900.0
1780454674704,2026-06-03,day,short,4,4,104,-96,reversed,46690,46786
1780458034367,2026-06-03,day,long,8,8,67,51.0,trail,46786,46837.0
1780461994141,2026-06-03,day,long,8,8,56,-83.0,loss,46855,46772.0
1780464454136,2026-06-03,day,long,8,8,65,40.0,trail,46813,46853.0
1780471835452,2026-06-03,night,long,8,8,63,22.0,trail,46839,46861.0
1780476214747,2026-06-03,night,short,4,4,53,3,replaced,46794,46791
1780479038394,2026-06-03,night,long,8,8,33,-47,reversed,46854,46807
1780480774429,2026-06-03,night,short,4,4,34,-51.0,loss,46807,46858.0
1780481914164,2026-06-03,night,long,8,8,46,-43,reversed,46847,46804
1780534894114,2026-06-04,day,short,4,4,75,-113.0,loss,46461,46574.0
1780537534985,2026-06-04,day,short,4,4,124,78,replaced,46358,46280
1780539574355,2026-06-04,day,short,4,4,119,-178.0,loss,46213,46391.0
1780544554148,2026-06-04,day,long,8,8,70,52.0,trail,46447,46499.0
1780547434481,2026-06-04,day,long,8,8,49,33.0,trail,46492,46525.0
1780549294144,2026-06-04,day,long,8,8,53,-79.0,loss,46494,46415.0
1780550194984,2026-06-04,day,short,4,4,60,133.0,profit,46385,46252.0
1780560040987,2026-06-04,night,short,4,4,49,111.0,profit,46259,46148.0
1780578042964,2026-06-04,night,long,8,8,54,35.0,trail,45785,45820.0
1780579594149,2026-06-04,night,long,8,8,46,-69.0,loss,45805,45736.0
1780584154314,2026-06-04,night,long,8,8,99,155.0,trail,45800,45955.0
1780586794146,2026-06-04,night,short,3,3,84,85,reversed,46170,46085
1780588174436,2026-06-04,night,long,8,8,79,178.0,profit,46085,46263.0
1780597581184,2026-06-04,night,short,3,3,40,0,replaced,46466,46466
1780599981144,2026-06-04,night,short,6,6,33,18.0,trail,46509,46491.0
1780629020134,2026-06-05,day,long,8,8,107,-160.0,loss,45625,45465.0
1780631480158,2026-06-05,day,short,4,4,97,15,replaced,45218,45203
1780633401143,2026-06-05,day,short,4,4,107,29.0,trail,45211,45182.0
1780651520287,2026-06-05,night,long,8,8,70,-105.0,loss,45208,45103.0
1780654101175,2026-06-05,night,long,8,8,51,60.0,trail,45156,45216.0
1780655300112,2026-06-05,night,long,8,8,43,18.0,trail,45207,45225.0
1780656260328,2026-06-05,night,long,8,8,38,-57.0,loss,45217,45160.0
1780658121136,2026-06-05,night,short,4,4,37,40.0,trail,45136,45096.0
1780660400145,2026-06-05,night,short,4,4,55,48.0,trail,45048,45000.0
